idx  p        k        w        d        norm     status  t[s]
------------------------------------------------------------------------
  0  +0.0526  2.3155  1.0029  1.6466   17.40  OK    50.6s
  1  +0.8138  1.2559  1.0695  1.3173   20.01  OK    56.0s
  2  -0.5891  0.7083  0.8935  0.8609   16.70  OK    37.7s
  3  +0.1227  0.8256  1.5485  1.0153    8.48  OK    93.3s
  4  -0.4456  0.8500  0.8568  1.7078   14.15  OK    34.7s
  5  +0.4903  0.5930  1.0776  0.6206   10.38  OK    60.1s
  6  -0.5146  0.5075  1.0991  1.2755   21.60  OK    51.7s
  7  +0.5587  2.3863  0.6267  0.7984   21.96  OK    28.2s
  8  +0.2338  1.2994  1.5028  0.6822   12.99  OK    89.2s
  9  -0.0688  1.4330  1.0435  0.2337   14.93  OK    46.7s
 10  -0.1260  2.0860  0.9244  0.5876   12.03  OK    39.5s
 11  +0.2628  1.5771  0.6012  0.3185   15.37  OK    27.2s
 12  +0.9148  0.3193  1.1382  1.6037   15.65  OK    64.1s
 13  +0.0866  1.6415  0.4665  0.1003    9.20  OK    22.8s
 14  -0.1818  1.5370  0.5226  0.8320   11.40  OK    18.8s
 15  +0.6989  1.7547  0.4756  1.9222    9.87  OK    21.2s
 16  -0.8815  2.2154  1.3187  1.1712   13.82  OK    70.5s
 17  -0.9292  1.2136  1.2469  1.5465   19.75  OK    63.8s
 18  +0.6484  2.2736  0.7098  0.1620   21.13  OK    32.7s
 19  -0.4366  1.3908  1.3595  1.9611   17.99  OK    71.9s
 20  +0.7234  2.1246  1.3693  1.8597   10.67  OK    80.6s
 21  -0.8324  0.7569  1.4392  1.9194   20.52  OK    78.8s
 22  +0.4501  0.9196  0.4986  1.7433   14.69  OK    23.7s
 23  -0.2680  0.6544  0.7727  0.9487   13.33  OK    29.8s
 24  +0.3030  0.9884  0.8373  1.4732   12.68  OK    39.6s
 25  +0.5695  1.6650  0.8176  0.9789   20.04  OK    38.8s
 26  -0.6563  0.9087  0.9703  0.4216   14.27  OK    42.8s
 27  +0.9763  1.9787  0.7466  1.2356    8.02  OK    33.6s
 28  +0.4069  2.4732  1.3972  1.4156   17.72  OK    82.6s
 29  -0.5514  1.3470  0.9476  1.0526   11.19  OK    40.9s
 30  -0.7898  2.0509  0.5884  1.5139   13.31  OK    19.2s
 31  +0.3563  1.1756  1.2398  0.3397   16.09  OK    69.0s
 32  +0.6229  0.4012  1.5064  0.1473    9.47  OK    88.4s
 33  -0.2878  1.4632  0.4441  0.0391   18.29  OK    13.6s
 34  +0.7880  2.3610  1.1509  0.2455   19.30  OK    60.7s
 35  -0.9768  1.5093  0.9876  1.5759   12.41  OK    43.5s
 36  -0.6300  1.0119  1.3114  0.4458   11.02  OK    66.8s
 37  -0.2385  1.0577  0.6792  0.6737   19.08  OK    25.0s
 38  -0.7413  2.1876  1.1912  0.3915   16.53  OK    58.7s
 39  -0.6882  2.4158  1.4224  0.8886   17.20  OK    76.0s
 40  +0.3630  1.7343  0.4230  1.0947   18.88  OK    19.5s
 41  -0.0868  1.9224  0.7892  1.1431   11.76  OK    30.7s
 42  +0.9514  1.8589  1.5684  0.7417   15.09  OK    94.2s
 43  +0.0108  1.1089  1.2719  1.3486    8.92  OK    70.1s
 44  -0.3353  1.9545  1.4592  0.0688   20.87  OK    78.4s
 45  -0.8495  0.3565  0.7353  1.7786   10.19  OK    27.6s
 46  -0.3880  0.6332  0.5672  0.4862   16.28  OK    18.3s
 47  +0.8478  0.5290  0.6461  1.3667   21.18  OK    29.3s
 48  +0.1967  0.4329  1.5899  0.5202   18.49  OK    96.6s
 49  -0.0259  1.8304  1.2076  1.8236    8.62  OK    59.3s
