#: table_doi: 10.17182/hepdata.83737.v1/t201
#: name: Table 202
#: description: $c_2\{4\}$ for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV as a function of centrality.
#: data_file: c24_502TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: c24
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,5020
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,c24,stat +,stat -,sys +,sys -
0.5,0,1,3.503191e-08,3.479453e-09,-3.479453e-09,5.425239e-08,-5.425239e-08
1.5,1,2,2.803726e-08,4.291808e-09,-4.291808e-09,5.425239e-08,-5.425239e-08
2.5,2,3,-8.200866e-09,5.237265e-09,-5.237265e-09,5.425239e-08,-5.425239e-08
3.5,3,4,-1.029941e-07,6.692485e-09,-6.692485e-09,6.904098e-08,-6.904098e-08
4.5,4,5,-2.9775e-07,8.215071e-09,-8.215071e-09,8.382958e-08,-8.382958e-08
5.5,5,6,-5.84769e-07,1.007641e-08,-1.007641e-08,9.861817e-08,-9.861817e-08
6.5,6,7,-1.035067e-06,1.216997e-08,-1.216997e-08,1.134068e-07,-1.134068e-07
7.5,7,8,-1.567932e-06,1.454581e-08,-1.454581e-08,1.281954e-07,-1.281954e-07
8.5,8,9,-2.250143e-06,1.733314e-08,-1.733314e-08,1.875334e-07,-1.875334e-07
9.5,9,10,-3.118952e-06,2.04167e-08,-2.04167e-08,2.468715e-07,-2.468715e-07
10.5,10,11,-4.095624e-06,2.346352e-08,-2.346352e-08,3.062096e-07,-3.062096e-07
11.5,11,12,-5.232561e-06,2.73843e-08,-2.73843e-08,3.655476e-07,-3.655476e-07
12.5,12,13,-6.507537e-06,3.124794e-08,-3.124794e-08,4.248857e-07,-4.248857e-07
13.5,13,14,-7.883572e-06,3.56329e-08,-3.56329e-08,5.17925e-07,-5.17925e-07
14.5,14,15,-9.44357e-06,4.009139e-08,-4.009139e-08,6.109643e-07,-6.109643e-07
15.5,15,16,-1.116614e-05,4.488063e-08,-4.488063e-08,7.040036e-07,-7.040036e-07
16.5,16,17,-1.295605e-05,4.989954e-08,-4.989954e-08,7.970429e-07,-7.970429e-07
17.5,17,18,-1.481045e-05,5.521154e-08,-5.521154e-08,8.900822e-07,-8.900822e-07
18.5,18,19,-1.679064e-05,6.045552e-08,-6.045552e-08,9.753355e-07,-9.753355e-07
19.5,19,20,-1.884366e-05,6.648532e-08,-6.648532e-08,1.060589e-06,-1.060589e-06
20.5,20,21,-2.100888e-05,7.300389e-08,-7.300389e-08,1.145842e-06,-1.145842e-06
21.5,21,22,-2.312382e-05,7.782615e-08,-7.782615e-08,1.231096e-06,-1.231096e-06
22.5,22,23,-2.555607e-05,8.585637e-08,-8.585637e-08,1.316349e-06,-1.316349e-06
23.5,23,24,-2.77456e-05,9.260515e-08,-9.260515e-08,1.374011e-06,-1.374011e-06
24.5,24,25,-3.010812e-05,9.997331e-08,-9.997331e-08,1.431673e-06,-1.431673e-06
25.5,25,26,-3.222179e-05,1.080821e-07,-1.080821e-07,1.489335e-06,-1.489335e-06
26.5,26,27,-3.459527e-05,1.153314e-07,-1.153314e-07,1.546997e-06,-1.546997e-06
27.5,27,28,-3.657382e-05,1.240693e-07,-1.240693e-07,1.604659e-06,-1.604659e-06
28.5,28,29,-3.878451e-05,1.311543e-07,-1.311543e-07,1.649258e-06,-1.649258e-06
29.5,29,30,-4.083939e-05,1.396629e-07,-1.396629e-07,1.693857e-06,-1.693857e-06
30.5,30,31,-4.269517e-05,1.479766e-07,-1.479766e-07,1.738456e-06,-1.738456e-06
31.5,31,32,-4.456992e-05,1.570708e-07,-1.570708e-07,1.783055e-06,-1.783055e-06
32.5,32,33,-4.637498e-05,1.646072e-07,-1.646072e-07,1.827655e-06,-1.827655e-06
33.5,33,34,-4.828822e-05,1.749339e-07,-1.749339e-07,1.823516e-06,-1.823516e-06
34.5,34,35,-4.965384e-05,1.83658e-07,-1.83658e-07,1.819377e-06,-1.819377e-06
35.5,35,36,-5.111365e-05,1.925147e-07,-1.925147e-07,1.815238e-06,-1.815238e-06
36.5,36,37,-5.213504e-05,2.033694e-07,-2.033694e-07,1.8111e-06,-1.8111e-06
37.5,37,38,-5.328421e-05,2.11481e-07,-2.11481e-07,1.806961e-06,-1.806961e-06
38.5,38,39,-5.404773e-05,2.227642e-07,-2.227642e-07,1.778464e-06,-1.778464e-06
39.5,39,40,-5.465427e-05,2.332044e-07,-2.332044e-07,1.749967e-06,-1.749967e-06
40.5,40,41,-5.544967e-05,2.446063e-07,-2.446063e-07,1.72147e-06,-1.72147e-06
41.5,41,42,-5.557592e-05,2.562913e-07,-2.562913e-07,1.692973e-06,-1.692973e-06
42.5,42,43,-5.587031e-05,2.680908e-07,-2.680908e-07,1.664476e-06,-1.664476e-06
43.5,43,44,-5.576617e-05,2.822409e-07,-2.822409e-07,1.672666e-06,-1.672666e-06
44.5,44,45,-5.494863e-05,2.912132e-07,-2.912132e-07,1.680855e-06,-1.680855e-06
45.5,45,46,-5.529252e-05,3.053916e-07,-3.053916e-07,1.689045e-06,-1.689045e-06
46.5,46,47,-5.494916e-05,3.179004e-07,-3.179004e-07,1.697234e-06,-1.697234e-06
47.5,47,48,-5.4365e-05,3.32826e-07,-3.32826e-07,1.705424e-06,-1.705424e-06
48.5,48,49,-5.316206e-05,3.542301e-07,-3.542301e-07,1.644454e-06,-1.644454e-06
49.5,49,50,-5.159715e-05,3.643798e-07,-3.643798e-07,1.583484e-06,-1.583484e-06
50.5,50,51,-5.079939e-05,3.861469e-07,-3.861469e-07,1.552999e-06,-1.552999e-06
51.5,51,52,-4.972781e-05,4.088015e-07,-4.088015e-07,1.552999e-06,-1.552999e-06
52.5,52,53,-4.871994e-05,4.221562e-07,-4.221562e-07,1.552999e-06,-1.552999e-06
53.5,53,54,-4.625437e-05,4.381291e-07,-4.381291e-07,1.552999e-06,-1.552999e-06
54.5,54,55,-4.528903e-05,4.69989e-07,-4.69989e-07,1.552999e-06,-1.552999e-06
55.5,55,56,-4.380454e-05,4.808158e-07,-4.808158e-07,1.552999e-06,-1.552999e-06
56.5,56,57,-4.257381e-05,5.22968e-07,-5.22968e-07,1.552999e-06,-1.552999e-06
57.5,57,58,-4.066864e-05,5.565718e-07,-5.565718e-07,1.552999e-06,-1.552999e-06
58.5,58,59,-3.790507e-05,6.010019e-07,-6.010019e-07,1.552999e-06,-1.552999e-06
59.5,59,60,-3.627723e-05,6.402901e-07,-6.402901e-07,1.552999e-06,-1.552999e-06
60.5,60,61,-3.592428e-05,6.768552e-07,-6.768552e-07,1.552999e-06,-1.552999e-06
61.5,61,62,-3.297766e-05,7.327538e-07,-7.327538e-07,1.552999e-06,-1.552999e-06
62.5,62,63,-3.102607e-05,7.876937e-07,-7.876937e-07,1.552999e-06,-1.552999e-06
63.5,63,64,-2.965448e-05,8.452905e-07,-8.452905e-07,1.552999e-06,-1.552999e-06
64.5,64,65,-2.985567e-05,9.202049e-07,-9.202049e-07,1.552999e-06,-1.552999e-06
65.5,65,66,-2.636865e-05,1.010055e-06,-1.010055e-06,1.552999e-06,-1.552999e-06
66.5,66,67,-2.639261e-05,1.097672e-06,-1.097672e-06,1.552999e-06,-1.552999e-06
67.5,67,68,-2.215073e-05,1.205548e-06,-1.205548e-06,1.552999e-06,-1.552999e-06
68.5,68,69,-1.978901e-05,1.336474e-06,-1.336474e-06,1.552999e-06,-1.552999e-06
69.5,69,70,-1.877748e-05,1.478655e-06,-1.478655e-06,1.552999e-06,-1.552999e-06

