#: table_doi: 10.17182/hepdata.83737.v1/t7
#: name: Table 7
#: description: $v_2\{2,|\Delta\eta| > 1.\}$ as a function of centrality for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV.
#: data_file: v22Deta1_276TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: v22Deta1
#: keyword cmenergies: 2760.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,2760
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,v22Deta1,stat +,stat -,sys +,sys -
0.5,0,1,0.02038311,0.0001397451,-0.0001397451,0.0004827632,-0.0004827632
1.5,1,2,0.02345098,0.0001332882,-0.0001332882,0.0004271449,-0.0004271449
2.5,2,3,0.0268318,0.0001264439,-0.0001264439,0.000619586,-0.000619586
3.5,3,4,0.03030364,0.000122356,-0.000122356,0.0003965293,-0.0003965293
4.5,4,5,0.03371955,0.0001182849,-0.0001182849,0.0004480797,-0.0004480797
5.5,5,6,0.03775684,0.0001156048,-0.0001156048,0.0006349091,-0.0006349091
6.5,6,7,0.04085393,0.0001163796,-0.0001163796,0.0006626435,-0.0006626435
7.5,7,8,0.04427339,0.0001159019,-0.0001159019,0.000679147,-0.000679147
8.5,8,9,0.04709006,0.0001154699,-0.0001154699,0.0006727673,-0.0006727673
9.5,9,10,0.05009472,0.0001173196,-0.0001173196,0.000636969,-0.000636969
10.5,10,11,0.05322875,0.0001175545,-0.0001175545,0.0006905709,-0.0006905709
11.5,11,12,0.05553938,0.0001191785,-0.0001191785,0.0006318584,-0.0006318584
12.5,12,13,0.05842029,0.0001198585,-0.0001198585,0.000436354,-0.000436354
13.5,13,14,0.06074436,0.0001212983,-0.0001212983,0.0006461415,-0.0006461415
14.5,14,15,0.06345261,0.000123625,-0.000123625,0.000498538,-0.000498538
15.5,15,16,0.06555052,0.0001260661,-0.0001260661,0.0004458943,-0.0004458943
16.5,16,17,0.06774411,0.0001282209,-0.0001282209,0.0004056306,-0.0004056306
17.5,17,18,0.06989775,0.0001299328,-0.0001299328,0.0005509327,-0.0005509327
18.5,18,19,0.07169641,0.0001347526,-0.0001347526,0.000452621,-0.000452621
19.5,19,20,0.07359352,0.0001357883,-0.0001357883,0.0006473416,-0.0006473416
20.5,20,21,0.07546471,0.0001367661,-0.0001367661,0.0005256081,-0.0005256081
21.5,21,22,0.07721042,0.0001402561,-0.0001402561,0.0005353483,-0.0005353483
22.5,22,23,0.07900371,0.0001431191,-0.0001431191,0.0005490314,-0.0005490314
23.5,23,24,0.08037184,0.0001465188,-0.0001465188,0.0005428092,-0.0005428092
24.5,24,25,0.08203456,0.0001493439,-0.0001493439,0.00069314,-0.00069314
25.5,25,26,0.08351949,0.0001515434,-0.0001515434,0.0007730633,-0.0007730633
26.5,26,27,0.08505177,0.0001555072,-0.0001555072,0.0008235478,-0.0008235478
27.5,27,28,0.08612332,0.0001576865,-0.0001576865,0.0007185279,-0.0007185279
28.5,28,29,0.08727996,0.0001611209,-0.0001611209,0.0007251093,-0.0007251093
29.5,29,30,0.08859965,0.0001670028,-0.0001670028,0.0008997308,-0.0008997308
30.5,30,31,0.0895405,0.0001687119,-0.0001687119,0.000952477,-0.000952477
31.5,31,32,0.09040809,0.0001745372,-0.0001745372,0.001091323,-0.001091323
32.5,32,33,0.0915419,0.0001801785,-0.0001801785,0.00109033,-0.00109033
33.5,33,34,0.0927974,0.0001837378,-0.0001837378,0.001026342,-0.001026342
34.5,34,35,0.09313614,0.0001867247,-0.0001867247,0.0009031035,-0.0009031035
35.5,35,36,0.09413087,0.0001915005,-0.0001915005,0.001050553,-0.001050553
36.5,36,37,0.09470097,0.0002004161,-0.0002004161,0.001084482,-0.001084482
37.5,37,38,0.09537574,0.0002022182,-0.0002022182,0.001107026,-0.001107026
38.5,38,39,0.09611957,0.0002104156,-0.0002104156,0.001157885,-0.001157885
39.5,39,40,0.09644657,0.0002159637,-0.0002159637,0.0009157259,-0.0009157259
40.5,40,41,0.0968742,0.0002250323,-0.0002250323,0.00107473,-0.00107473
41.5,41,42,0.09721073,0.0002314336,-0.0002314336,0.0009582711,-0.0009582711
42.5,42,43,0.09756069,0.0002401031,-0.0002401031,0.0009207012,-0.0009207012
43.5,43,44,0.09816718,0.0002456419,-0.0002456419,0.0009744848,-0.0009744848
44.5,44,45,0.09783848,0.0002536528,-0.0002536528,0.0009440764,-0.0009440764
45.5,45,46,0.09813797,0.0002640735,-0.0002640735,0.001035693,-0.001035693
46.5,46,47,0.09794216,0.0002741705,-0.0002741705,0.001172694,-0.001172694
47.5,47,48,0.0981,0.0002876124,-0.0002876124,0.0009508927,-0.0009508927
