#: table_doi: 10.17182/hepdata.89325.v1/t18
#: name: Figure4_Panel1_pt0
#: description: nc_2{4}, standard, 0.5<pT<5.0 GeV
#: data_file: figure4_panel1_pt0.yaml
Centrality,nc_2{4},stat. uncertainty +,stat. uncertainty -,syst. uncertainty +,syst. uncertainty -
0.49261,0.02768,0.0032409,-0.0032409,0.0027989,-0.00066631
1.5076,0.012352,0.002214,-0.002214,0.001249,-0.00044279
2.5,-0.075628,0.0029533,-0.0029533,0.0076471,-0.0018205
3.5,-0.17673,0.0020378,-0.0020378,0.01787,-0.0042542
4.5,-0.25589,0.0023986,-0.0023986,0.025874,-0.0061596
5.5,-0.32683,0.0015284,-0.0015284,0.031964,-0.0077928
6.5,-0.38875,0.0022211,-0.0022211,0.035443,-0.009092
7.5,-0.43279,0.0011186,-0.0011186,0.036589,-0.0099245
8.5,-0.47625,0.0013741,-0.0013741,0.037106,-0.010704
9.5,-0.5082,0.0013359,-0.0013359,0.036226,-0.01119
10.5,-0.53552,0.0011165,-0.0011165,0.034624,-0.011548
11.5,-0.55706,0.00081966,-0.00081966,0.032324,-0.011758
12.5,-0.57787,0.0012608,-0.0012608,0.0297,-0.011934
13.5,-0.59217,0.00097584,-0.00097584,0.02651,-0.011959
14.5,-0.6069,0.0011009,-0.0011009,0.023147,-0.01198
15.5,-0.61772,0.0011154,-0.0011154,0.020992,-0.011805
16.5,-0.62532,0.0010114,-0.0010114,0.020197,-0.01145
17.5,-0.6329,0.0010518,-0.0010518,0.019376,-0.011082
18.5,-0.64037,0.00087777,-0.00087777,0.018526,-0.010701
19.5,-0.64649,0.00074191,-0.00074191,0.017614,-0.010286
20.5,-0.6506,0.00065982,-0.00065982,0.01663,-0.0098305
21.5,-0.65397,0.00094039,-0.00094039,0.015615,-0.0093581
22.5,-0.65485,0.00069123,-0.00069123,0.014533,-0.0088467
23.5,-0.65555,0.0005992,-0.0005992,0.013444,-0.0083315
24.5,-0.65575,0.00069553,-0.00069553,0.012344,-0.0078093
25.5,-0.65707,0.00075745,-0.00075745,0.011798,-0.0076109
26.5,-0.65606,0.0010315,-0.0010315,0.011745,-0.0076965
27.5,-0.65472,0.0008739,-0.0008739,0.011686,-0.0077779
28.5,-0.65377,0.00098165,-0.00098165,0.011635,-0.0078636
29.5,-0.65013,0.00094414,-0.00094414,0.011536,-0.0079164
30.5,-0.64991,0.00082679,-0.00082679,0.011497,-0.0080101
31.5,-0.64518,0.00091681,-0.00091681,0.011379,-0.0080475
32.5,-0.64188,0.00080639,-0.00080639,0.011287,-0.0081016
33.5,-0.63887,0.00065284,-0.00065284,0.0112,-0.0081585
34.5,-0.63491,0.001069,-0.001069,0.011097,-0.008202
35.5,-0.62932,0.0011559,-0.0011559,0.010901,-0.0081082
36.5,-0.62315,0.00092696,-0.00092696,0.010631,-0.0078932
37.5,-0.62147,0.00090183,-0.00090183,0.010441,-0.0077369
38.5,-0.61362,0.00083634,-0.00083634,0.010149,-0.0075058
39.5,-0.60613,0.00098167,-0.00098167,0.009867,-0.0072826
40.5,-0.59967,0.00098279,-0.00098279,0.0096055,-0.0070746
41.5,-0.59526,0.0013754,-0.0013754,0.0093797,-0.0068933
42.5,-0.5901,0.00092649,-0.00092649,0.0091444,-0.0067053
43.5,-0.5838,0.0012831,-0.0012831,0.0088947,-0.0065069
44.5,-0.57508,0.0010231,-0.0010231,0.0086118,-0.0062847
45.5,-0.56987,0.0012895,-0.0012895,0.0085071,-0.0061718
46.5,-0.56329,0.0015294,-0.0015294,0.0085027,-0.0061121
47.5,-0.5523,0.0013631,-0.0013631,0.0084291,-0.0060044
48.5,-0.54718,0.0016003,-0.0016003,0.0084422,-0.0059601
49.5,-0.53963,0.0011936,-0.0011936,0.0084156,-0.005889
50.5,-0.53268,0.0015332,-0.0015332,0.0083961,-0.0058242
51.5,-0.52505,0.0024679,-0.0024679,0.0083634,-0.0057517
52.5,-0.51896,0.0015067,-0.0015067,0.0083531,-0.0056958
53.5,-0.51301,0.0014894,-0.0014894,0.0083428,-0.0056411
54.5,-0.5029,0.0024968,-0.0024968,0.0082624,-0.0055404
55.5,-0.49443,0.0018126,-0.0018126,0.0081235,-0.0053243
56.5,-0.48715,0.0022321,-0.0022321,0.0079231,-0.0049939
57.5,-0.48393,0.0022227,-0.0022227,0.0077906,-0.0047105
58.5,-0.47885,0.00206,-0.00206,0.0076294,-0.0044133
59.5,-0.46822,0.0026022,-0.0026022,0.0073825,-0.0040731
60.5,-0.46503,0.0022758,-0.0022758,0.0072551,-0.0038047
61.5,-0.45391,0.0031391,-0.0031391,0.0070064,-0.0034788
62.5,-0.45524,0.0031107,-0.0031107,0.0069516,-0.0032535
63.5,-0.44919,0.0037183,-0.0037183,0.0067847,-0.0029778
64.5,-0.44938,0.0043273,-0.0043273,0.0067132,-0.0027466
65.5,-0.44214,0.0039344,-0.0039344,0.0063696,-0.0026097
66.5,-0.43979,0.0048862,-0.0048862,0.0059405,-0.0026391
67.5,-0.43228,0.0043838,-0.0043838,0.0054504,-0.0026364
68.5,-0.43456,0.0054867,-0.0054867,0.0050885,-0.0026931
69.5,-0.43086,0.0059737,-0.0059737,0.0046578,-0.0027124
70.5,-0.42651,0.0074578,-0.0074578,0.0042275,-0.002727
71.5,-0.43771,0.0097096,-0.0097096,0.003945,-0.0028416
72.5,-0.42982,0.012871,-0.012871,0.0034873,-0.0028326
73.5,-0.41549,0.01323,-0.01323,0.0029976,-0.0027789
74.5,-0.42867,0.013042,-0.013042,0.0027075,-0.0029092
75.5,-0.40447,0.019902,-0.019902,0.0039804,-0.0039804
76.5,-0.45151,0.012766,-0.012766,0.0026487,-0.0030864
77.5,-0.40397,0.029484,-0.029484,0.0058968,-0.0058968
78.5,-0.41801,0.038167,-0.038167,0.0076334,-0.0076334

